num_facts,duration,error
42,0.005453777313232422,0.00044811032685934123
134,0.006883811950683594,0.0006544152907070414
489,0.00879077911376953,0.0004603309316572609
2665,0.028322601318359376,0.001167850285516848
17668,0.1554166316986084,0.005557738266539084
81640,0.688700532913208,0.03455332508667811
278331,2.890475130081177,0.2720778045218006
769187,7.160501003265381,0.3499056863613018
1830222,20.58471508026123,2.382107418099021
3896506,41.31389694213867,2.5160584959673287
7613437,90.15001730918884,1.0335619058665293
13895629,166.00965156555176,3.3000639802409495
23992584,381.2777564525604,17.81225732944258
